Date,BARC.L,BP.L,BHP.L,AZN.L,VOD.L,TSCO.L,RR.L,NG.L,ULVR.L,BBY.L
2012-01-03,172.09359741210938,471.04998779296875,1993.0,3050.0,188.4561004638672,520.9163818359375,259.7782897949219,688.9088134765625,2189.0,280.5
2012-01-04,173.9873046875,473.45001220703125,1975.0,3034.5,187.67410278320312,513.6331176757812,257.3760986328125,687.2723999023438,2156.0,276.70001220703125
2012-01-05,169.6457061767578,474.04998779296875,1951.0,3009.5,184.85899353027344,498.9397888183594,258.7488098144531,668.7269897460938,2170.0,272.70001220703125
2012-01-06,172.18600463867188,477.04998779296875,1949.0,3042.5,187.15280151367188,495.1398010253906,259.26348876953125,664.9088134765625,2123.0,273.6000061035156
2012-01-09,164.51890563964844,473.6000061035156,1947.5,3009.0,184.65049743652344,494.5697937011719,259.606689453125,680.7269897460938,2135.0,272.8999938964844
2012-01-10,173.94110107421875,479.6000061035156,2014.0,3024.5,186.3708038330078,493.9997863769531,263.89630126953125,688.9088134765625,2151.0,279.70001220703125
2012-01-11,175.78860473632812,475.29998779296875,2031.0,3049.0,186.94430541992188,487.6664123535156,262.5235900878906,687.81787109375,2084.0,277.79998779296875
2012-01-12,178.69839477539062,479.5,2055.0,3070.0,187.15280151367188,409.7030944824219,261.8373107910156,687.81787109375,2085.0,278.1000061035156
2012-01-13,185.85740661621094,476.29998779296875,2045.0,3047.0,182.46099853515625,401.27978515625,261.66571044921875,681.81787109375,2055.0,281.70001220703125
2012-01-16,183.9176025390625,478.0,2080.0,3070.5,183.34719848632812,395.6430969238281,262.1803894042969,685.6361083984375,2077.0,282.29998779296875
2012-01-17,184.0561065673828,481.95001220703125,2120.5,3101.5,182.8780059814453,402.16650390625,261.8373107910156,686.7269897460938,2064.0,290.70001220703125
2012-01-18,185.76499938964844,481.3999938964844,2137.5,3111.5,182.5131072998047,406.59979248046875,257.2044982910156,680.1815185546875,2066.0,291.0
2012-01-19,204.4709014892578,482.45001220703125,2158.5,3070.0,181.93960571289062,414.1997985839844,252.22860717773438,673.6361083984375,2041.0,288.20001220703125
2012-01-20,205.6717071533203,467.45001220703125,2125.5,3037.5,184.59840393066406,416.73309326171875,252.40020751953125,674.7269897460938,2047.0,287.3999938964844
2012-01-23,205.6717071533203,476.70001220703125,2159.0,3069.5,186.47509765625,424.3330993652344,258.4056091308594,669.81787109375,2060.0,285.8999938964844
2012-01-24,201.83819580078125,477.3999938964844,2129.0,3056.5,183.76429748535156,417.9997863769531,255.66029357910156,678.5452270507812,2045.0,280.5
2012-01-25,200.68350219726562,474.54998779296875,2129.0,3035.0,181.99180603027344,408.943115234375,253.6011962890625,675.2723999023438,2050.0,280.29998779296875
2012-01-26,205.85650634765625,476.75,2199.5,3052.5,181.41830444335938,409.1330871582031,257.89080810546875,674.7269897460938,2075.0,279.8999938964844
2012-01-27,205.85650634765625,464.54998779296875,2175.0,3036.0,179.5937042236328,406.2831115722656,253.42970275878906,665.9996948242188,2068.0,279.3999938964844
2012-01-30,197.2657012939453,458.45001220703125,2151.0,3055.0,179.12449645996094,405.3330993652344,251.54220581054688,669.2723999023438,2067.0,273.29998779296875
2012-01-31,196.34190368652344,470.8500061035156,2123.0,3054.5,178.08189392089844,404.8265075683594,252.40020751953125,689.4542236328125,2046.0,274.0
2012-02-01,207.01119995117188,483.0,2174.5,3089.5,177.82119750976562,407.1697998046875,264.4110107421875,691.6361083984375,2085.0,280.0
2012-02-02,210.52139282226562,477.8999938964844,2195.0,3069.5,178.08189392089844,404.0664978027344,263.5531005859375,681.81787109375,1994.0,279.8999938964844
2012-02-03,219.34320068359375,484.5,2206.5,3010.0,182.56520080566406,413.7565002441406,269.3869934082031,699.81787109375,2029.0,287.79998779296875
2012-02-06,213.75450134277344,489.54998779296875,2200.0,2997.0,185.4324951171875,411.4130859375,269.55859375,694.9088134765625,2021.0,284.29998779296875
2012-02-07,218.74270629882812,486.5,2180.0,3000.0,182.40879821777344,417.4298095703125,269.9017028808594,702.5451049804688,2042.0,284.1000061035156
2012-02-08,215.7866973876953,489.75,2130.0,3010.0,181.0012969970703,417.23980712890625,269.3869934082031,705.81787109375,2029.0,283.6000061035156
2012-02-09,215.3249053955078,493.3999938964844,2115.0,2997.5,181.93960571289062,411.0331115722656,264.239501953125,698.1815185546875,2049.0,284.1000061035156
2012-02-10,216.202392578125,490.29998779296875,2057.5,2979.0,180.01080322265625,406.156494140625,265.097412109375,689.9996948242188,2051.0,283.6000061035156
2012-02-13,218.8813018798828,496.0,2082.5,3012.5,181.8354034423828,404.5730895996094,267.4996032714844,697.090576171875,2075.0,285.0
2012-02-14,216.9875946044922,494.79998779296875,2072.0,3017.5,181.31410217285156,397.923095703125,267.4996032714844,699.81787109375,2080.0,282.29998779296875
2012-02-15,223.222900390625,487.3999938964844,2054.0,2898.0,180.9490966796875,402.7998046875,270.41650390625,698.1815185546875,2055.0,281.5
2012-02-16,226.22509765625,487.54998779296875,2039.5,2856.0,181.26190185546875,405.7131042480469,271.1028137207031,705.81787109375,2070.0,279.1000061035156
2012-02-17,229.41200256347656,488.95001220703125,2023.0,2852.5,182.0438995361328,402.673095703125,273.84820556640625,703.6361083984375,2063.0,283.0
2012-02-20,231.7675018310547,499.25,2077.5,2843.5,182.8780059814453,407.2965087890625,272.1322937011719,703.090576171875,2069.0,290.79998779296875
2012-02-21,228.85769653320312,497.70001220703125,2080.0,2841.5,183.29510498046875,408.75311279296875,274.1913146972656,701.9996948242188,2076.0,288.70001220703125
